year,state_fips,state_name,estimate
2006,08,Colorado,4720423
2007,08,Colorado,4803868
2008,08,Colorado,4889730
2009,08,Colorado,4972195
2010,08,Colorado,5047539
2011,08,Colorado,5121900
2012,08,Colorado,5193660
2013,08,Colorado,5270774
2014,08,Colorado,5352637
2015,08,Colorado,5454328
2016,08,Colorado,5543844
2017,08,Colorado,5617421
2018,08,Colorado,5697155
2019,08,Colorado,5758486
2020,08,Colorado,5784865
2021,08,Colorado,5811297
2022,08,Colorado,5839926
1970,09,Connecticut,3032217
1971,09,Connecticut,3060939
1972,09,Connecticut,3068701
1973,09,Connecticut,3067814
1974,09,Connecticut,3074048
1975,09,Connecticut,3082500
1976,09,Connecticut,3083335
1977,09,Connecticut,3085722
1978,09,Connecticut,3091629
1979,09,Connecticut,3095914
1980,09,Connecticut,3107576
1981,09,Connecticut,3128836
1982,09,Connecticut,3139013
1983,09,Connecticut,3162354
1984,09,Connecticut,3180014
1985,09,Connecticut,3201131
1986,09,Connecticut,3223740
1987,09,Connecticut,3247291
1988,09,Connecticut,3271953
1989,09,Connecticut,3283403
1990,09,Connecticut,3289056
1991,09,Connecticut,3288640
1992,09,Connecticut,3274997
1993,09,Connecticut,3272325
1994,09,Connecticut,3268346
1995,09,Connecticut,3265293
1996,09,Connecticut,3267030
1997,09,Connecticut,3268514
1998,09,Connecticut,3272563
1999,09,Connecticut,3282031
2000,09,Connecticut,3411777
2001,09,Connecticut,3432835
2002,09,Connecticut,3458749
2003,09,Connecticut,3484336
2004,09,Connecticut,3496094
2005,09,Connecticut,3506956
2006,09,Connecticut,3517460
2007,09,Connecticut,3527270
2008,09,Connecticut,3545579
2009,09,Connecticut,3561807
2010,09,Connecticut,3579173
2011,09,Connecticut,3588632
2012,09,Connecticut,3595211
2013,09,Connecticut,3595792
2014,09,Connecticut,3595697
2015,09,Connecticut,3588561
2016,09,Connecticut,3579830
2017,09,Connecticut,3575324
2018,09,Connecticut,3574561
2019,09,Connecticut,3566022
2020,09,Connecticut,3597362
2021,09,Connecticut,3623355
2022,09,Connecticut,3626205
1970,10,Delaware,548104
1971,10,Delaware,564706
1972,10,Delaware,572914
1973,10,Delaware,577762
1974,10,Delaware,581419
1975,10,Delaware,586590
1976,10,Delaware,590168
1977,10,Delaware,591829
1978,10,Delaware,594777
1979,10,Delaware,594982
1980,10,Delaware,594338
1981,10,Delaware,595975
1982,10,Delaware,599148
1983,10,Delaware,605458
1984,10,Delaware,611565
1985,10,Delaware,618280
1986,10,Delaware,627559
1987,10,Delaware,636947
1988,10,Delaware,647622
1989,10,Delaware,658273
1990,10,Delaware,669063
1991,10,Delaware,680495
1992,10,Delaware,690158
1993,10,Delaware,699475
1994,10,Delaware,708416
1995,10,Delaware,718265
1996,10,Delaware,727090
1997,10,Delaware,735024
1998,10,Delaware,744066
1999,10,Delaware,753538
2000,10,Delaware,786373
2001,10,Delaware,795699
2002,10,Delaware,806169
2003,10,Delaware,818003
2004,10,Delaware,830803
2005,10,Delaware,845150
2006,10,Delaware,859268
2007,10,Delaware,871749
2008,10,Delaware,883874
2009,10,Delaware,891730
2010,10,Delaware,899647
2011,10,Delaware,907590
2012,10,Delaware,915518
2013,10,Delaware,924062
2014,10,Delaware,933131
2015,10,Delaware,942065
2016,10,Delaware,949989
2017,10,Delaware,957942
2018,10,Delaware,966985
2019,10,Delaware,976668
2020,10,Delaware,992114
2021,10,Delaware,1004807
2022,10,Delaware,1018396
1970,11,District of Columbia,756668
1971,11,District of Columbia,749777
1972,11,District of Columbia,742239
1973,11,District of Columbia,731490
1974,11,District of Columbia,717948
1975,11,District of Columbia,706871
1976,11,District of Columbia,692295
1977,11,District of Columbia,677229
1978,11,District of Columbia,665051
1979,11,District of Columbia,650015
1980,11,District of Columbia,638333
1981,11,District of Columbia,636893
1982,11,District of Columbia,634174
1983,11,District of Columbia,632433
1984,11,District of Columbia,633382
1985,11,District of Columbia,634549
1986,11,District of Columbia,638269
1987,11,District of Columbia,636930
1988,11,District of Columbia,630432
1989,11,District of Columbia,624168
1990,11,District of Columbia,603814
1991,11,District of Columbia,593239
1992,11,District of Columbia,584183
1993,11,District of Columbia,576358
1994,11,District of Columbia,564982
1995,11,District of Columbia,551273
1996,11,District of Columbia,538273
1997,11,District of Columbia,528752
1998,11,District of Columbia,521426
1999,11,District of Columbia,519000
2000,11,District of Columbia,572046
2001,11,District of Columbia,574504
2002,11,District of Columbia,573158
2003,11,District of Columbia,568502
2004,11,District of Columbia,567754
2005,11,District of Columbia,567136
2006,11,District of Columbia,570681
2007,11,District of Columbia,574404
2008,11,District of Columbia,580236
2009,11,District of Columbia,592228
2010,11,District of Columbia,605282
2011,11,District of Columbia,620290
2012,11,District of Columbia,635737
2013,11,District of Columbia,651559
2014,11,District of Columbia,663603
2015,11,District of Columbia,677014
2016,11,District of Columbia,687576
2017,11,District of Columbia,697079
2018,11,District of Columbia,704147
2019,11,District of Columbia,708253
2020,11,District of Columbia,670868
2021,11,District of Columbia,668791
2022,11,District of Columbia,671803
1970,12,Florida,6791418
1971,12,Florida,7158307
1972,12,Florida,7511463
1973,12,Florida,7913696
1974,12,Florida,8298760
1975,12,Florida,8518423
1976,12,Florida,8667382
1977,12,Florida,8856183
1978,12,Florida,9102032
1979,12,Florida,9426159
1980,12,Florida,9746324
1981,12,Florida,10192774
1982,12,Florida,10471407
1983,12,Florida,10749851
1984,12,Florida,11039925
1985,12,Florida,11351118
1986,12,Florida,11667505
1987,12,Florida,11997283
1988,12,Florida,12306395
1989,12,Florida,12637715
1990,12,Florida,13018365
1991,12,Florida,13289497
1992,12,Florida,13504775
1993,12,Florida,13713593
1994,12,Florida,13961798
1995,12,Florida,14185403
1996,12,Florida,14426911
1997,12,Florida,14683350
1998,12,Florida,14908230
1999,12,Florida,15111244
2000,12,Florida,16047515
2001,12,Florida,16356966
2002,12,Florida,16689370
2003,12,Florida,17004085
2004,12,Florida,17415318
2005,12,Florida,17842038
2006,12,Florida,18166990
2007,12,Florida,18367842
2008,12,Florida,18527305
2009,12,Florida,18652644
2010,12,Florida,18846143
2011,12,Florida,19055607
2012,12,Florida,19302016
2013,12,Florida,19551678
2014,12,Florida,19853880
2015,12,Florida,20219111
2016,12,Florida,20627237
2017,12,Florida,20977089
2018,12,Florida,21254926
2019,12,Florida,21492056
2020,12,Florida,21589602
2021,12,Florida,21828069
2022,12,Florida,22244823
1970,13,Georgia,4587930
1971,13,Georgia,4711550
1972,13,Georgia,4809489
1973,13,Georgia,4910374
1974,13,Georgia,4999420
1975,13,Georgia,5064076
1976,13,Georgia,5132813
1977,13,Georgia,5219699
1978,13,Georgia,5295753
1979,13,Georgia,5401385
1980,13,Georgia,5463105
1981,13,Georgia,5568345
1982,13,Georgia,5649792
1983,13,Georgia,5728250
1984,13,Georgia,5834954
1985,13,Georgia,5962661
1986,13,Georgia,6084666
1987,13,Georgia,6208467
1988,13,Georgia,6316142
1989,13,Georgia,6411099
1990,13,Georgia,6506531
1991,13,Georgia,6621279
1992,13,Georgia,6759474
1993,13,Georgia,6894092
1994,13,Georgia,7045900
1995,13,Georgia,7188538
1996,13,Georgia,7332225
1997,13,Georgia,7486094
1998,13,Georgia,7636522
1999,13,Georgia,7788240
2000,13,Georgia,8227303
2001,13,Georgia,8377038
2002,13,Georgia,8508256
2003,13,Georgia,8622793
2004,13,Georgia,8769252
2005,13,Georgia,8925922
2006,13,Georgia,9155813
2007,13,Georgia,9349988
2008,13,Georgia,9504843
2009,13,Georgia,9620846
2010,13,Georgia,9712209
2011,13,Georgia,9803630
2012,13,Georgia,9903580
2013,13,Georgia,9975592
2014,13,Georgia,10071204
2015,13,Georgia,10183353
2016,13,Georgia,10308442
2017,13,Georgia,10417031
2018,13,Georgia,10519389
2019,13,Georgia,10628020
2020,13,Georgia,10729828
2021,13,Georgia,10788029
2022,13,Georgia,10912876
1970,15,Hawaii,769913
1971,15,Hawaii,801644
1972,15,Hawaii,828330
1973,15,Hawaii,851596
1974,15,Hawaii,867976
1975,15,Hawaii,886159
1976,15,Hawaii,904191
1977,15,Hawaii,918257
1978,15,Hawaii,931586
1979,15,Hawaii,953305
1980,15,Hawaii,964691
1981,15,Hawaii,978195
1982,15,Hawaii,993780
1983,15,Hawaii,1012717
1984,15,Hawaii,1027922
1985,15,Hawaii,1039698
1986,15,Hawaii,1051762
1987,15,Hawaii,1067918
1988,15,Hawaii,1079828
1989,15,Hawaii,1094588
1990,15,Hawaii,1112703
1991,15,Hawaii,1131412
1992,15,Hawaii,1149926
1993,15,Hawaii,1161508
1994,15,Hawaii,1173903
1995,15,Hawaii,1180490
1996,15,Hawaii,1184434
1997,15,Hawaii,1189322
1998,15,Hawaii,1190472
1999,15,Hawaii,1185497
2000,15,Hawaii,1213519
2001,15,Hawaii,1225948
2002,15,Hawaii,1239613
2003,15,Hawaii,1251154
2004,15,Hawaii,1273569
2005,15,Hawaii,1292729
2006,15,Hawaii,1309731
2007,15,Hawaii,1315675
2008,15,Hawaii,1332213
2009,15,Hawaii,1346717
2010,15,Hawaii,1364004
2011,15,Hawaii,1379562
2012,15,Hawaii,1395199
2013,15,Hawaii,1408822
2014,15,Hawaii,1415335
2015,15,Hawaii,1422999
2016,15,Hawaii,1428885
2017,15,Hawaii,1425763
2018,15,Hawaii,1423102
2019,15,Hawaii,1415615
2020,15,Hawaii,1451043
2021,15,Hawaii,1447154
2022,15,Hawaii,1440196
1970,16,Idaho,713015
1971,16,Idaho,738753
1972,16,Idaho,763237
1973,16,Idaho,782072
1974,16,Idaho,807990
1975,16,Idaho,831983
1976,16,Idaho,856983
1977,16,Idaho,883471
1978,16,Idaho,910691
1979,16,Idaho,932626
1980,16,Idaho,943935
1981,16,Idaho,962204
1982,16,Idaho,973721
1983,16,Idaho,981869
1984,16,Idaho,990839
1985,16,Idaho,994051
1986,16,Idaho,990224
1987,16,Idaho,984997
1988,16,Idaho,985664
1989,16,Idaho,994416
1990,16,Idaho,1011882
1991,16,Idaho,1038915
1992,16,Idaho,1066490
1993,16,Idaho,1101204
1994,16,Idaho,1135459
1995,16,Idaho,1165000
1996,16,Idaho,1187706
1997,16,Idaho,1210638
1998,16,Idaho,1230923
1999,16,Idaho,1251700
2000,16,Idaho,1299430
2001,16,Idaho,1319962
2002,16,Idaho,1340372
2003,16,Idaho,1363380
2004,16,Idaho,1391802
2005,16,Idaho,1428241
2006,16,Idaho,1468669
2007,16,Idaho,1505105
2008,16,Idaho,1534320
2009,16,Idaho,1554439
2010,16,Idaho,1570819
2011,16,Idaho,1584272
2012,16,Idaho,1595910
2013,16,Idaho,1612053
2014,16,Idaho,1632248
2015,16,Idaho,1652495
2016,16,Idaho,1684036
2017,16,Idaho,1719745
2018,16,Idaho,1752074
2019,16,Idaho,1789060
2020,16,Idaho,1849202
2021,16,Idaho,1904314
2022,16,Idaho,1939033
1970,17,Illinois,11110285
1971,17,Illinois,11202398
1972,17,Illinois,11251951
1973,17,Illinois,11251369
1974,17,Illinois,11262147
1975,17,Illinois,11291746
1976,17,Illinois,11342854
1977,17,Illinois,11386319
1978,17,Illinois,11412562
1979,17,Illinois,11396840
1980,17,Illinois,11426518
1981,17,Illinois,11443458
1982,17,Illinois,11423412
1983,17,Illinois,11408818
1984,17,Illinois,11412132
1985,17,Illinois,11399806
1986,17,Illinois,11387257
1987,17,Illinois,11391178
1988,17,Illinois,11390183
1989,17,Illinois,11409782
1990,17,Illinois,11446979
1991,17,Illinois,11535973
1992,17,Illinois,11635197
1993,17,Illinois,11725984
1994,17,Illinois,11804986
1995,17,Illinois,11884935
1996,17,Illinois,11953003
1997,17,Illinois,12011509
1998,17,Illinois,12069774
1999,17,Illinois,12128370
2000,17,Illinois,12434161
2001,17,Illinois,12488445
2002,17,Illinois,12525556
2003,17,Illinois,12556006
2004,17,Illinois,12589773
2005,17,Illinois,12609903
2006,17,Illinois,12643955
2007,17,Illinois,12695866
2008,17,Illinois,12747038
2009,17,Illinois,12796778
2010,17,Illinois,12840545
2011,17,Illinois,12867783
2012,17,Illinois,12883029
2013,17,Illinois,12895778
2014,17,Illinois,12885092
2015,17,Illinois,12859585
2016,17,Illinois,12821709
2017,17,Illinois,12779893
2018,17,Illinois,12724685
2019,17,Illinois,12667017
2020,17,Illinois,12786580
2021,17,Illinois,12686469
2022,17,Illinois,12582032
1970,18,Indiana,5195392
1971,18,Indiana,5253399
1972,18,Indiana,5302437
1973,18,Indiana,5338280
1974,18,Indiana,5361891
1975,18,Indiana,5365766
1976,18,Indiana,5389089
1977,18,Indiana,5425637
1978,18,Indiana,5470213
1979,18,Indiana,5501176
1980,18,Indiana,5490224
1981,18,Indiana,5480435
1982,18,Indiana,5467922
1983,18,Indiana,5450395
1984,18,Indiana,5458322
1985,18,Indiana,5459211
1986,18,Indiana,5454108
1987,18,Indiana,5473012
1988,18,Indiana,5491735
1989,18,Indiana,5523693
1990,18,Indiana,5555097
1991,18,Indiana,5602062
1992,18,Indiana,5648649
1993,18,Indiana,5701965
1994,18,Indiana,5745626
1995,18,Indiana,5791819
1996,18,Indiana,5834908
1997,18,Indiana,5872370
1998,18,Indiana,5907617
1999,18,Indiana,5942901
2000,18,Indiana,6091866
2001,18,Indiana,6127760
2002,18,Indiana,6155967
2003,18,Indiana,6196638
2004,18,Indiana,6233007
2005,18,Indiana,6278616
2006,18,Indiana,6332669
2007,18,Indiana,6379599
2008,18,Indiana,6424806
2009,18,Indiana,6459325
2010,18,Indiana,6490555
2011,18,Indiana,6517250
2012,18,Indiana,6538989
2013,18,Indiana,6570575
2014,18,Indiana,6596019
2015,18,Indiana,6611442
2016,18,Indiana,6637898
2017,18,Indiana,6662068
2018,18,Indiana,6698481
2019,18,Indiana,6731010
2020,18,Indiana,6788799
2021,18,Indiana,6813532
2022,18,Indiana,6833037
1970,19,Iowa,2825368
1971,19,Iowa,2851706
1972,19,Iowa,2860289
1973,19,Iowa,2863715
1974,19,Iowa,2867534
1975,19,Iowa,2880848
1976,19,Iowa,2903082
1977,19,Iowa,2913573
1978,19,Iowa,2918071
1979,19,Iowa,2915739
1980,19,Iowa,2913808
1981,19,Iowa,2907983
1982,19,Iowa,2888189
1983,19,Iowa,2870543
1984,19,Iowa,2858618
1985,19,Iowa,2829684
1986,19,Iowa,2791970
1987,19,Iowa,2767011
1988,19,Iowa,2768388
1989,19,Iowa,2770592
1990,19,Iowa,2779769
1991,19,Iowa,2791227
1992,19,Iowa,2806923
1993,19,Iowa,2820525
1994,19,Iowa,2829422
1995,19,Iowa,2840860
1996,19,Iowa,2848473
1997,19,Iowa,2854396
1998,19,Iowa,2861025
1999,19,Iowa,2869413
2000,19,Iowa,2929067
2001,19,Iowa,2931997
2002,19,Iowa,2934234
2003,19,Iowa,2941999
2004,19,Iowa,2953635
2005,19,Iowa,2964454
2006,19,Iowa,2982644
2007,19,Iowa,2999212
2008,19,Iowa,3016734
2009,19,Iowa,3032870
2010,19,Iowa,3050819
2011,19,Iowa,3066772
2012,19,Iowa,3076844
2013,19,Iowa,3093935
2014,19,Iowa,3110643
2015,19,Iowa,3122541
2016,19,Iowa,3133210
2017,19,Iowa,3143734
2018,19,Iowa,3149900
2019,19,Iowa,3159596
2020,19,Iowa,3190571
2021,19,Iowa,3197689
2022,19,Iowa,3200517
1970,20,Kansas,2249071
1971,20,Kansas,2246601
1972,20,Kansas,2256375
1973,20,Kansas,2265602
1974,20,Kansas,2269500
1975,20,Kansas,2280578
1976,20,Kansas,2300999
1977,20,Kansas,2320647
1978,20,Kansas,2335657
1979,20,Kansas,2350908
1980,20,Kansas,2363679
1981,20,Kansas,2384849
1982,20,Kansas,2401202
1983,20,Kansas,2415531
1984,20,Kansas,2424086
1985,20,Kansas,2427405
1986,20,Kansas,2432619
1987,20,Kansas,2445367
1988,20,Kansas,2461996
1989,20,Kansas,2472849
1990,20,Kansas,2480683
1991,20,Kansas,2495209
1992,20,Kansas,2526042
1993,20,Kansas,2547605
1994,20,Kansas,2569118
1995,20,Kansas,2586942
1996,20,Kansas,2598266
1997,20,Kansas,2616339
1998,20,Kansas,2638667
1999,20,Kansas,2654052
2000,20,Kansas,2693681
2001,20,Kansas,2702162
2002,20,Kansas,2713535
2003,20,Kansas,2723004
2004,20,Kansas,2734373
2005,20,Kansas,2745299
2006,20,Kansas,2762931
2007,20,Kansas,2783785
2008,20,Kansas,2808076
2009,20,Kansas,2832704
2010,20,Kansas,2858266
2011,20,Kansas,2869677
2012,20,Kansas,2886024
2013,20,Kansas,2894306
2014,20,Kansas,2901861
2015,20,Kansas,2910717
2016,20,Kansas,2912977
2017,20,Kansas,2910892
2018,20,Kansas,2912748
2019,20,Kansas,2912635
2020,20,Kansas,2937919
2021,20,Kansas,2937922
2022,20,Kansas,2937150
1970,21,Kentucky,3220711
1971,21,Kentucky,3298054
1972,21,Kentucky,3335732
1973,21,Kentucky,3371024
1974,21,Kentucky,3416315
1975,21,Kentucky,3467769
1976,21,Kentucky,3529258
1977,21,Kentucky,3573694
1978,21,Kentucky,3609976
1979,21,Kentucky,3641806
1980,21,Kentucky,3660777
1981,21,Kentucky,3670394
1982,21,Kentucky,3683445
1983,21,Kentucky,3694484
1984,21,Kentucky,3695453
1985,21,Kentucky,3694826
1986,21,Kentucky,3687809
1987,21,Kentucky,3683329
1988,21,Kentucky,3679999
1989,21,Kentucky,3677306
1990,21,Kentucky,3692584
1991,21,Kentucky,3714686
1992,21,Kentucky,3756358
1993,21,Kentucky,3792288
1994,21,Kentucky,3823215
1995,21,Kentucky,3855248
1996,21,Kentucky,3881051
1997,21,Kentucky,3907816
1998,21,Kentucky,3934310
1999,21,Kentucky,3960825
2000,21,Kentucky,4049021
2001,21,Kentucky,4068132
2002,21,Kentucky,4089875
2003,21,Kentucky,4117170
2004,21,Kentucky,4146101
2005,21,Kentucky,4182742
2006,21,Kentucky,4219239
2007,21,Kentucky,4256672
2008,21,Kentucky,4289878
2009,21,Kentucky,4317074
2010,21,Kentucky,4348464
2011,21,Kentucky,4370817
2012,21,Kentucky,4387865
2013,21,Kentucky,4406906
2014,21,Kentucky,4416992
2015,21,Kentucky,4429126
2016,21,Kentucky,4440306
2017,21,Kentucky,4455590
2018,21,Kentucky,4464273
2019,21,Kentucky,4472345
2020,21,Kentucky,4507445
2021,21,Kentucky,4506589
2022,21,Kentucky,4512310
1970,22,Louisiana,3644637
1971,22,Louisiana,3710490
1972,22,Louisiana,3761645
1973,22,Louisiana,3788374
1974,22,Louisiana,3820110
1975,22,Louisiana,3886104
1976,22,Louisiana,3950606
1977,22,Louisiana,4014462
1978,22,Louisiana,4068578
1979,22,Louisiana,4137666
1980,22,Louisiana,4205900
1981,22,Louisiana,4283303
1982,22,Louisiana,4352608
1983,22,Louisiana,4395316
1984,22,Louisiana,4400477
1985,22,Louisiana,4408118
1986,22,Louisiana,4406919
1987,22,Louisiana,4344148
1988,22,Louisiana,4288863
1989,22,Louisiana,4252894
1990,22,Louisiana,4219179
1991,22,Louisiana,4240950
1992,22,Louisiana,4270849
1993,22,Louisiana,4284749
1994,22,Louisiana,4306500
1995,22,Louisiana,4327978
1996,22,Louisiana,4338763
1997,22,Louisiana,4351390
1998,22,Louisiana,4362758
1999,22,Louisiana,4372035
2000,22,Louisiana,4471885
2001,22,Louisiana,4477875
2002,22,Louisiana,4497267
2003,22,Louisiana,4521042
2004,22,Louisiana,4552238
2005,22,Louisiana,4576628
2006,22,Louisiana,4302665
2007,22,Louisiana,4375581
2008,22,Louisiana,4435586
2009,22,Louisiana,4491648
2010,22,Louisiana,4544635
2011,22,Louisiana,4576244
2012,22,Louisiana,4602067
2013,22,Louisiana,4626040
2014,22,Louisiana,4645938
2015,22,Louisiana,4666998
